STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,2,RAIN,20240102 1400,20240102 1400,2.85, ,INCHES
MRN,H,2,RAIN,20240102 1500,20240102 1500,2.85, ,INCHES
MRN,H,2,RAIN,20240102 1600,20240102 1600,2.85, ,INCHES
MRN,H,2,RAIN,20240102 1700,20240102 1700,2.85, ,INCHES
MRN,H,2,RAIN,20240102 1800,20240102 1800,2.85, ,INCHES
MRN,H,2,RAIN,20240102 1900,20240102 1900,2.85, ,INCHES
MRN,H,2,RAIN,20240102 2000,20240102 2000,2.85, ,INCHES
MRN,H,2,RAIN,20240102 2100,20240102 2100,2.85, ,INCHES
MRN,H,2,RAIN,20240102 2200,20240102 2200,2.85, ,INCHES
MRN,H,2,RAIN,20240102 2300,20240102 2300,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0000,20240103 0000,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0100,20240103 0100,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0200,20240103 0200,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0300,20240103 0300,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0400,20240103 0400,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0500,20240103 0500,2.85, ,INCHES
MRN,H,2,RAIN,20240103 0600,20240103 0600,2.86, ,INCHES
MRN,H,2,RAIN,20240103 0700,20240103 0700,2.87, ,INCHES
MRN,H,2,RAIN,20240103 0800,20240103 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240103 0900,20240103 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240103 1000,20240103 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240103 1100,20240103 1100,---, ,INCHES
MRN,H,2,RAIN,20240103 1200,20240103 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240103 1300,20240103 1300,---, ,INCHES
MRN,H,2,RAIN,20240103 1400,20240103 1400,---, ,INCHES
MRN,H,2,RAIN,20240103 1500,20240103 1500,---, ,INCHES
MRN,H,2,RAIN,20240103 1600,20240103 1600,---, ,INCHES
MRN,H,2,RAIN,20240103 1700,20240103 1700,---, ,INCHES
MRN,H,2,RAIN,20240103 1800,20240103 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240103 1900,20240103 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240103 2000,20240103 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240103 2100,20240103 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240103 2200,20240103 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240103 2300,20240103 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0000,20240104 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0100,20240104 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0200,20240104 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0300,20240104 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0400,20240104 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0500,20240104 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0600,20240104 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0700,20240104 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0800,20240104 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240104 0900,20240104 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1000,20240104 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1100,20240104 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1200,20240104 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1300,20240104 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1400,20240104 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1500,20240104 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1600,20240104 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1700,20240104 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1800,20240104 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240104 1900,20240104 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240104 2000,20240104 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240104 2100,20240104 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240104 2200,20240104 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240104 2300,20240104 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0000,20240105 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0100,20240105 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0200,20240105 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0300,20240105 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0400,20240105 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0500,20240105 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0600,20240105 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0700,20240105 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0800,20240105 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240105 0900,20240105 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1000,20240105 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1100,20240105 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1200,20240105 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1300,20240105 1300,3.00, ,INCHES
